transferId,plugin,srcAbstractTokenId,srcValueUsd,duration
T-1028a79d-59b2-4348-b241-cf4dd99a730b,across,MOCK03:tether:USDT,1899.6224,2
T-21133649-08cb-411d-83da-8a0e49c3b634,across,MOCK02:ethereum:ETH,3.8466458,4
T-302ad62b-5e56-4920-86a8-b2251e4d259a,across,MOCK01:circle:USDC,3615.7783,8
T-9c1b069c-5c16-4b0d-83bb-8ba396b1c9d2,across,MOCK01:circle:USDC,74.45043,8
T-b209f2b5-2778-4919-9881-b75549cccffe,across,MOCK01:circle:USDC,25616.004,40
T-77179067-7c83-4073-963f-3b281d0bf374,across,MOCK02:ethereum:ETH,1.9031767,3
T-4d3dfd06-0b0d-43a5-9c85-d884e681ce81,across,MOCK02:ethereum:ETH,759.27,16
T-68bb6e56-f678-4088-9e07-940c077a19c5,across,MOCK02:ethereum:ETH,1148.2131,10
T-eaf883dd-5256-4f70-8098-ec1ce96d6ce8,across,MOCK02:ethereum:ETH,57.834408,7
T-5f4c3cc7-ff1b-4578-b6a4-4ca2fc3ce60e,across,MOCK01:circle:USDC,9998.32,2
T-00ab9523-e5ea-425b-8736-c2f914a0de94,across,MOCK02:ethereum:ETH,7.32066,8
T-241db91c-7239-4f76-939f-a5e7debace74,across,MOCK02:ethereum:ETH,68.8293,1
T-dc715598-3025-4030-94a4-c050965269ec,across,MOCK02:ethereum:ETH,3.3104172,5
T-3528c030-1c3e-408c-8731-6e45d8580f24,across,MOCK02:ethereum:ETH,2.1866975,3
T-8131a5d7-8890-4cf0-8853-e90f3e2c632e,across,MOCK01:circle:USDC,154.23419,14
T-1a1c2f2b-7e51-4ada-a121-8b1b07c6778e,across,MOCK02:ethereum:ETH,29.835539,6
T-c0f495e5-38b7-44ec-a70c-a2e247147c2d,across,MOCK02:ethereum:ETH,731.5393,2
T-b17f8fc0-a694-462e-ae8e-bb0868c129a9,across,MOCK01:circle:USDC,49.604042,7
T-3f0894bc-dc0e-4c06-be27-3fdd9b969929,across,MOCK02:ethereum:ETH,100.15327,0
T-50c02da1-094a-4b17-9a24-bf2eb72bd269,across,MOCK01:circle:USDC,289.1488,0
T-5a37b6e7-d927-4380-b18f-9e2a32f1a54b,across,MOCK02:ethereum:ETH,4.960489,4
T-bb301edf-dda6-4962-b4a5-04dac973a779,across,MOCK02:ethereum:ETH,60.35857,2
T-9a86e0d5-dc8d-4abc-99d6-9df46215d275,across,MOCK02:ethereum:ETH,297.64224,16
T-01e5e9e8-0226-446b-b1d6-fd23a94ff177,across,MOCK02:ethereum:ETH,42.005894,6
T-26868a9c-4c95-4409-9cd8-d0c6ec3c53da,across,MOCK02:ethereum:ETH,113.2266,15
T-64576faa-5b0b-45af-883a-a49f436d038e,across,MOCK01:circle:USDC,2.1054676,4
T-583efe7f-0818-4f99-a609-359cc83e0ef7,across,MOCK02:ethereum:ETH,3.8494835,10
T-98635a8b-10d7-4f01-96eb-7d1dbaffca67,across,MOCK01:circle:USDC,13.608843,4
T-64c70bc0-49d3-4364-87e2-57d570723a18,across,MOCK01:circle:USDC,4.36329,4
T-4f9d378d-422c-4049-8a77-682ba1a36cca,across,MOCK01:circle:USDC,290.94327,22
T-4faec0c1-8f21-4e49-9016-f04557bb87fd,across,MOCK03:tether:USDT,22.958817,0
T-e4c835f8-ec35-40ef-af05-fe65c7c2c3b0,across,MOCK02:ethereum:ETH,0.54649454,0
T-490464bd-dca6-4d34-9dda-f705577ec13d,across,MOCK01:circle:USDC,241.42865,3
T-0d0dcfd3-8a62-4b96-91a5-fe00e10250ce,across,MOCK02:ethereum:ETH,27.821539,2
T-3b5dc770-82c8-4396-88a2-547aa210b500,across,MOCK02:ethereum:ETH,153.90465,15
T-a6b9a1b5-d15a-4260-8d9b-f70e9551e0f1,across,MOCK02:ethereum:ETH,2.110006,24
T-7c9758c9-5237-4cd8-98a5-dd65b1f39027,across,MOCK01:circle:USDC,499.95,4
T-58818afa-75e4-4fa8-a263-a96510cdc8c5,across,MOCK01:circle:USDC,115.005936,2
T-0c4e7bc7-c696-40ae-a616-8e8caeb917de,across,MOCK02:ethereum:ETH,1.0547051,12
T-0897f788-6cc3-48ae-95ca-e65fc2d4bfe2,across,MOCK16:usdt0:USDT0,0,8
T-cd0f22be-baca-49f5-8dd6-56ef249ccc71,across,MOCK02:ethereum:ETH,26.943453,2
T-8fbbf2de-ef7a-40a0-8f09-133af881bce0,across,MOCK02:ethereum:ETH,15.994806,8
T-7d4708df-1a2d-4efb-9928-25167fe9e85d,across,MOCK01:circle:USDC,41.034245,0
T-486b2ea3-f9e3-40da-9de8-aacdd293938f,across,MOCK02:ethereum:ETH,4.270621,0
T-18e6407b-b69e-4fee-baa0-fcae63e73b29,across,MOCK02:ethereum:ETH,154.35745,4
T-a638c84f-849a-4f7f-97e7-5f0a5622b902,across,MOCK02:ethereum:ETH,0.6568397,0
T-3c6bea6e-d19e-44c3-8b1c-5504cc70edd7,across,MOCK01:circle:USDC,4417.4814,6
T-8333389a-568c-420d-b282-db0297a1f98c,across,MOCK01:circle:USDC,40.97554,3
T-f182d9f4-5be5-4f25-a7ae-5f0230b0c8e5,across,MOCK02:ethereum:ETH,959.1232,16
T-7f8c1250-7de3-414a-ae4b-7ac55aaa4c9d,across,MOCK02:ethereum:ETH,2.328948,0
T-9413e357-ae36-4db9-af20-55659b932cde,across,MOCK02:ethereum:ETH,3.0237846,0
T-db87dfc4-7d6d-4ff0-aa09-4a94b703adc4,across,MOCK01:circle:USDC,155.09494,0
T-7d626a40-905b-464f-bfd2-a0a29942a1d8,across,MOCK02:ethereum:ETH,3.743201,0
T-7c8698b8-8ac2-4c34-89d4-9582665d99cc,across,MOCK02:ethereum:ETH,68.933075,16
